player,school,gp,mpg,bpm,class,birthdate,pick
Isaac Traudt,Creighton,36,15.8194,3.38338,So,2003-12-17,
Isaac McKneely,Virginia,32,34.4219,3.69038,Jr,2003-11-10,
Leon Bond III,Northern Iowa,22,26.0261,2.61222,So,2003-10-15,
Dylan Darling,Idaho St.,26,34.3393,4.27791,So,2003-10-15,
Jlynn Counter,Middle Tennessee,30,27.4323,3.2066,Sr,2002-10-15,
Conrad Hawley,Iowa St.,2,0.8500,-24.0767,Sr,2002-11-25,
Omar Harris,Campbell,6,9.2143,-8.11697,Jr,2004-04-12,
Wesley Johnson,Campbell,4,2.6500,-15.436,Jr,2003-10-01,
Will Shaver,UAB,8,4.5444,2.80081,So,2003-09-17,
ND Okafor,Washington St.,32,13.8469,-0.127429,So,2003-03-27,
Elijah Walsh,Campbell,19,13.1143,-2.28835,Jr,2002-12-17,
Masai Troutman,Northeastern,13,24.2154,-5.07266,Jr,2003-01-01,
Landon Lewis,Brown,23,28.9130,2.04536,Jr,2003-10-15,
Jamai Felt,Bowling Green,30,20.5594,0.417367,Fr,2003-10-15,
Anthony McComb III,New Hampshire,30,27.3344,-6.13729,Jr,2003-10-15,
Kam Craft,Miami OH,32,25.7382,-2.35087,So,2004-04-02,
Desmond Claude,USC,33,32.4364,0.429839,Jr,2003-05-30,
"John Lovelace, Jr.",Milwaukee,30,14.3844,-0.282576,Jr,2003-10-15,
AJ Lesburt Jr.,Brown,21,27.1727,0.157779,Jr,2003-10-15,
Kadyn Betts,Minnesota,22,4.8273,-3.87892,So,2003-10-15,
Braeden Carrington,Tulsa,27,26.7966,1.96241,Jr,2003-08-09,
Tommy Pinegar,Missouri St.,2,2.1667,11.7571,So,2003-07-18,
Damien Mayo Jr.,Southern Illinois,29,24.0129,-1.33276,So,2004-02-10,
N.J. Benson,DePaul,28,21.9036,3.26295,Jr,2003-11-24,
Kyran Ratliff,Louisiana,32,19.5455,0.0138041,So,2003-10-15,
Christian Watson,Southern Miss,31,28.3424,-4.67234,Jr,2003-06-23,
AJ Casey,Saint Louis,1,7.0667,-17.6954,Jr,2004-01-26,
TJ Grant,Mercer,11,11.9615,-6.50729,Jr,2003-10-15,
Michael Zanoni,Penn,17,16.8412,-5.03492,Jr,2003-10-15,
Chancellor White,Louisiana,30,8.8903,-6.86842,So,2003-10-15,
David Craig,Tennessee Tech,13,5.1429,-10.2358,Jr,2003-10-15,
Danilo Jovanovich,Milwaukee,16,14.5882,-0.47927,Jr,2003-10-15,
Malachi Douyon,Santa Clara,5,1.1200,-14.4173,Jr,2003-10-15,
Vernon Collins,Western Carolina,27,17.9600,-1.7941,Jr,2003-10-15,
Brendan Yarusso,Santa Clara,6,1.7000,-13.8553,Jr,2003-10-15,
Arnas Sakenis,SIU Edwardsville,23,16.5962,3.60044,Jr,2003-10-15,
Cam Brent,Mississippi,7,1.5286,-14.4867,Sr,2002-09-27,
DJ Richards,McNeese St.,33,22.5200,5.15831,Jr,2003-10-15,
Mike Woods,Navy,30,14.6667,0.998167,Jr,2003-10-15,
Sam Krist,Navy,12,9.2692,-0.649464,Jr,2003-10-15,
Derrin Boyd,Charleston,30,31.6871,0.0204913,Sr,2002-10-15,
Trent Scott,Morehead St.,22,13.5120,-4.35611,So,2003-10-15,
Jed Miller,Montana St.,32,17.8000,4.27849,Jr,2003-10-15,
Rob Lawson,Morgan St.,27,26.6806,-8.72014,Jr,2003-10-15,
Precious Idiaru,Longwood,7,2.9111,3.26318,So,2003-10-15,
Joshua Jefferson,Iowa St.,35,29.5971,10.8276,Jr,2003-11-21,28
Grant Darbyshire,Kentucky,2,0.3500,-0.198156,Jr,2003-10-15,
Aidan Mahaney,Connecticut,34,12.3471,-3.42129,Jr,2003-08-05,
Adou Thiero,Arkansas,27,27.5222,8.17934,Jr,2004-05-08,36
Walker Horn,Kentucky,5,0.9000,-11.5796,Jr,2003-10-15,
Kevin Gad,Saint Mary's,14,2.2067,6.2532,So,2003-10-15,
Donovan Oday,Cal St. Fullerton,29,24.7452,-4.01894,Jr,2003-10-15,
Raynard Horry,SIU Edwardsville,3,3.9333,-6.80846,So,2003-10-15,
Keon Thompson,Stephen F. Austin,22,32.3174,-1.66856,Jr,2003-10-15,
RJ Luis Jr.,St. John's,35,31.8400,4.87848,Jr,2002-11-27,
Caelum Swanton-Rodger,Old Dominion,32,20.6471,1.43606,Jr,2003-06-01,
Dion Brown,Boston College,31,25.6613,0.634492,Jr,2003-05-26,
Trevan Leonhardt,Utah Valley,32,27.7294,4.11128,So,2003-10-15,
Juanse Gorosito,Ball St.,28,26.1677,-0.630237,Jr,2003-01-28,
Kamari Lands,Middle Tennessee,20,19.9909,-1.56115,Jr,2003-05-22,
Tae Davis,Notre Dame,33,30.8242,0.560357,Jr,2003-11-25,
Jaquan Sanders,Hofstra,22,19.9333,-6.85933,Jr,2003-10-15,
Devin Ree,Louisiana Tech,26,16.4034,-3.80621,Jr,2004-03-11,
Moe Odum,Pepperdine,34,33.3086,1.26096,Jr,2003-10-15,
Luke Hunger,Northwestern,25,12.5440,-1.18602,Jr,2003-03-02,
Dior Johnson,UCF,35,8.4800,-1.54951,So,2004-01-28,
Guillermo Diaz Graham,Pittsburgh,32,23.1969,4.14305,Jr,2003-06-29,
Leland Walker,Florida Atlantic,32,28.5455,-2.38564,Jr,2003-04-12,
Tayshawn Comer,Evansville,31,35.9750,-3.30797,Jr,2003-10-15,
Jackson Holt,Eastern Kentucky,30,19.6375,-0.966297,So,2003-10-15,
Matt McCool,Marist,7,7.0857,-1.05423,Jr,2003-10-15,
David Onanina,Bethune Cookman,31,12.1645,-6.26281,So,2003-10-15,
Ben Southerland,Wright St.,2,1.4500,-13.7059,So,2003-10-15,
Chase Ross,Marquette,34,30.3265,6.55338,Jr,2003-02-07,
Alonzo Dodd,Appalachian St.,27,24.4931,-1.91193,Jr,2003-10-15,
D.J. Jefferson,Longwood,10,7.1538,-4.99226,So,2003-05-20,
Tobe Awaka,Arizona,37,19.4378,7.92331,So,2004-01-30,
Jaden Grant,FIU,31,14.0848,-1.32538,Sr,2003-03-08,
Kyle Evans,UC Irvine,38,12.0410,5.66404,Jr,2003-10-15,
Jayden Williams,Dartmouth,24,19.1654,-2.29816,Jr,2003-10-15,
Brandon Mitchell-Day,Dartmouth,26,26.3926,3.92359,Jr,2003-09-16,
Greg Cooper,Harvard,4,1.2500,-13.7552,Jr,2003-10-15,
Jackson Munro,Dartmouth,24,23.2423,-0.0271208,Jr,2003-10-15,
Brody Robinson,UT Arlington,29,31.2129,-1.89195,Jr,2003-10-15,
Emmer Nichols,Georgia Tech,6,1.7500,-15.3092,Jr,2003-10-15,
Cyril Martynov,Eastern Kentucky,23,7.7160,-5.74969,Jr,2004-06-22,
Kanye Clary,Mississippi St.,7,18.9857,-0.483057,Jr,2003-10-15,
Kebba Njie,Notre Dame,31,23.5226,1.22611,Jr,2004-08-22,
Mor Seck,Fresno St.,31,14.9226,-5.07599,Jr,2003-10-15,
Avery Brown,Columbia,25,27.3704,-6.611,Jr,2002-12-10,
Blair Thompson,Columbia,24,24.3538,-0.373895,Jr,2003-07-21,
Kyrese Mullen,Hampton,29,21.0687,-4.86218,Jr,2003-10-15,
Kody Williams,Hawaii,24,23.6231,-4.89578,Jr,2003-10-15,
Greedy Williams,UNC Wilmington,33,21.7486,-2.10133,Jr,2003-10-15,
Demetrius Lilley,La Salle,25,19.3462,-2.47399,Jr,2003-10-15,
Kimani Hamilton,High Point,33,24.2371,5.31406,Jr,2003-12-16,
Tarris Reed Jr.,Connecticut,35,19.9257,10.032,Jr,2003-08-05,26
Collin Metcalf,Northeastern,32,21.7906,2.81225,Jr,2003-10-15,
Dylan Andrews,UCLA,32,24.8281,-0.553318,Jr,2003-10-15,
Abramo Canka,Stetson,24,25.9731,-2.71108,Jr,2002-03-18,
Youssef Khayat,Bowling Green,5,21.5333,0.978954,Jr,2003-03-11,
Jack Seidler,UCLA,7,2.0857,-8.63912,So,2003-10-15,
Jameel Brown,Temple,8,15.9125,2.71253,Jr,2003-10-15,
Shawn Phillips Jr.,Arizona St.,31,18.0032,2.00608,Jr,2004-04-15,
Austin Montgomery,Georgetown,12,3.3667,-5.80733,Jr,2003-10-15,
Jaden Clayton,Maine,32,32.0971,-1.21991,Jr,2003-01-30,
Cam Lawin,San Diego St.,5,2.3667,-24.36,So,2003-10-15,
Miles Byrd,San Diego St.,30,30.0800,8.40423,So,2004-09-08,
Elijah Saunders,Virginia,29,26.7759,-1.22488,Jr,2003-08-08,
Leon Nahar,Stony Brook,26,7.4963,-1.73503,Jr,2003-10-15,
Jared Frey,Stony Brook,20,22.7667,-4.59378,So,2003-10-15,
Brody Rowbury,Southeastern Louisiana,30,27.3806,1.02183,Jr,2003-10-15,
Jamarques Lawrence,Rhode Island,30,28.7710,-1.91905,Jr,2003-12-10,
Jordan Tillmon,Prairie View A&M,31,24.7563,-6.58848,Sr,2001-10-15,
Justin Bailey,Wofford,33,27.1500,2.63157,Jr,2004-05-22,
Sam Murray II,Missouri St.,6,3.3143,-19.3814,Jr,2003-10-15,
DaeVeon Scott,Stephen F. Austin,14,4.5353,-6.53005,So,2003-10-15,
Braxton Stacker,Southeast Missouri St.,25,22.2741,2.19361,Jr,2003-10-15,
Jaxon Edwards,St. Bonaventure,4,7.0600,-1.78854,Jr,2003-10-09,
Will Richardson,Fordham,7,27.5750,-2.86231,Jr,2003-10-15,
Isaac Holmes,Saint Louis,4,2.7833,0.313635,So,2003-10-15,
Jalen Bouknight,Lindenwood,12,12.3600,-8.30453,So,2003-10-15,
Noah Best,Fairfield,13,13.7429,-9.29271,Jr,2003-10-15,
Adam Hinton,Cornell,26,11.2036,-2.05662,Jr,2003-10-15,
DJ Nix,Cornell,26,11.8786,-3.26661,Jr,2003-10-15,
Carl Daughtery Jr.,UC Davis,30,17.5406,-6.37509,Jr,2003-10-15,
Anthony Dell'Orso,Arizona,37,18.1919,4.80439,Jr,2003-07-23,
Tony Osburn,Nebraska Omaha,32,27.1882,2.88265,Jr,2003-11-03,
Josh Baldwin,Cornell,4,11.4400,-11.4942,Jr,2003-10-15,
Reggie Bass,Lindenwood,26,31.7214,-3.0372,Jr,2003-10-15,
Larry Hughes II,Saint Louis,6,15.0857,-5.66321,Jr,2003-10-27,
Jalen Bolden,Louisiana Monroe,30,33.4406,-2.33678,Jr,2003-10-15,
Cam Cormany,Navy,1,2.9500,-8.19651,Jr,2003-10-15,
Pierce Bazil,Houston Christian,29,8.4226,-8.85834,Jr,2003-10-15,
Garry Clark,Texas A&M Corpus Chris,30,28.5118,1.19029,Sr,2002-10-15,
Steven Jamerson II,San Diego,30,24.0194,2.64085,Sr,2002-10-15,
Nathan Self,Houston Christian,6,1.4000,-7.26676,Jr,2002-10-15,
Andrew King,Elon,31,26.6121,-2.72039,Jr,2003-10-15,
Corey Washington,Wichita St.,33,26.7265,-0.0109359,Jr,2003-10-15,
Mo Sall,Northern Illinois,2,10.4333,-13.3962,So,2003-10-15,
Asjon Anderson,Queens,23,9.6760,-4.94979,So,2003-10-15,
Stone Hutchings,Utah Tech,28,7.6333,-4.25317,So,2003-10-15,
Marcell McCreary,Northern Colorado,32,18.3686,2.10246,Jr,2003-10-15,
Anthony Clayton,Syracuse,2,0.9500,10.6189,Sr,2002-10-15,
Marshal Destremau,UT Rio Grande Valley,27,13.2000,0.845674,So,2003-10-15,
Connor Gal,Temple,4,0.9600,-4.78345,Jr,2003-10-15,
Jordan Rayford,Indiana,1,1.3000,-1.28566,So,2003-05-15,
Charlie May,Michigan,5,1.2800,-12.7548,Jr,2003-10-15,
Thierno Sylla,Stephen F. Austin,22,9.4360,-7.68667,Jr,2003-08-31,
Poohpha Warakulnukroh,UCF,4,0.9000,-3.1628,Jr,2002-10-15,
Rytis Petraitis,California,33,27.9394,5.45912,Jr,2003-01-22,
Corbin Green,Texas Tech,9,1.4444,11.4292,Jr,2002-11-22,
Kellan Boylan,Lipscomb,27,8.4345,-2.50809,Jr,2003-10-15,
Zytarious Mortle,Texas Southern,18,11.9048,-4.16653,Jr,2003-10-15,
Shahid Muhammad,Massachusetts,30,12.5065,1.86795,Jr,2002-07-08,
David Gabriel,Seton Hall,6,0.9333,16.0703,Jr,2003-10-15,
AK Okereke,Cornell,27,25.6379,6.68141,Jr,2003-07-02,
Miles Hall,Florida A&M,19,5.4619,-1.78599,Jr,2003-10-15,
Sola Adebisi,The Citadel,24,27.7464,-2.02108,Jr,2000-04-01,
Jake Ciardo,Marquette,5,1.4400,-18.0726,Jr,2003-07-22,
Ahmet Jonovic,Bradley,33,16.0500,1.40161,Jr,2003-12-11,
AJ Redd,Illinois,14,2.0071,-2.41972,Jr,2003-09-03,
Janko Buljic,Lamar,29,9.6031,-2.17489,Jr,2002-11-24,
Ahmed Essahaty,Southeastern Louisiana,25,9.0593,-5.4111,Jr,2003-11-27,
Emmanuel Okorafor,Seton Hall,25,10.7800,-2.6351,Jr,2004-06-08,
Steven Tipton,Northern Illinois,18,10.5048,-5.02747,Jr,2003-10-15,
Samage Teel,Indiana St.,30,33.8969,1.14951,Sr,2002-07-29,
Simeon Wilcher,St. John's,36,25.4222,1.43056,So,2004-01-29,
Cameron Grant,Stanford,10,4.9100,11.1515,Fr,2004-10-15,
Kanaan Carlyle,Indiana,25,16.2200,-1.20334,So,2004-09-25,
Dylan Canoville,Jackson St.,22,15.6500,1.05677,Jr,2003-10-15,
Lieb Yat,Southern Miss,6,2.4429,0.119014,Sr,2002-10-15,
Jaden Webb,Morehead St.,9,4.7900,-11.2925,Jr,2003-10-15,
Brandon Taylor,East Texas A&M,9,6.0556,-2.78111,Sr,2002-10-15,
Wesley Robinson,Manhattan,30,29.6323,-0.273444,Sr,2002-09-20,
Shaquil Bender,Manhattan,30,31.5484,-6.15508,Sr,2002-10-15,
Kevin Carney,Loyola Marymount,5,1.7333,-16.7395,Jr,2003-10-15,
Sean Newman Jr.,Louisiana Tech,28,33.3387,-2.0654,Jr,2003-10-15,
Terri Miller Jr.,Portland St.,29,21.4281,2.77014,Sr,2002-10-15,
Jaylin Henderson,Portland St.,29,32.4531,-0.974104,Sr,2002-06-14,
Belal El Shakery,Wofford,7,10.7375,-2.4652,So,2004-05-24,
Jeremy Lorenz,Wofford,33,22.0571,0.964142,So,2004-10-15,
Don Douglass,Wofford,4,2.8333,-6.378,So,2004-10-15,
John Blackwell,Wisconsin,37,31.1730,4.91489,So,2004-12-25,
Jack Janicki,Wisconsin,37,11.3568,5.73795,Fr,2004-10-15,
Nolan Winter,Wisconsin,37,21.0514,9.22502,So,2004-11-13,
Gus Yalden,Seton Hall,26,8.3923,-1.58639,So,2004-10-15,
Tre'shawn Sheppard,LIU,23,10.4200,-2.77556,So,2004-10-15,
Deng Garang,Le Moyne,11,23.1846,-3.34857,Fr,2004-10-15,
Eric Acker,La Salle,17,15.5944,-6.6177,So,2004-10-15,
Jaylen Carey,Vanderbilt,33,20.2091,1.80804,So,2004-10-15,
AJ Dancler,Le Moyne,28,31.9667,-3.3809,So,2004-10-15,
Omaha Biliew,Wake Forest,13,9.4231,4.58786,So,2004-09-01,
Milan Momcilovic,Iowa St.,28,27.5429,3.12775,So,2004-09-22,
JT Rock,Iowa St.,9,2.3333,-2.5594,Fr,2006-03-01,
Grey Garrison,Oregon St.,3,1.2750,-0.806045,So,2004-10-15,
Sebastian Perry,Nebraska Omaha,8,2.0000,-12.8917,So,2004-10-15,
Dani Pounds,Old Dominion,28,8.4633,-5.59988,So,2004-10-15,
Grant Stubblefield,Nebraska Omaha,24,6.3077,-3.66472,So,2004-10-15,
Pablo Navarro,Oral Roberts,15,7.6105,-11.3835,So,2005-02-07,
Josh Jones,Oral Roberts,25,18.3103,-5.6201,So,2004-10-15,
Jamir Simpson,Southern Utah,28,31.9742,-4.42791,Sr,2002-10-15,
Tito Deng,Jacksonville,18,4.8250,-3.88978,So,2003-04-02,
Zach Bell,Jacksonville,31,27.6030,0.88738,Jr,2003-10-15,
Isaiah Manning,TCU,24,7.3500,-1.83289,Fr,2005-06-07,
Jace Posey,TCU,31,12.8419,0.700234,Fr,2004-10-15,
Bangot Dak,Colorado,35,19.9400,5.31448,So,2005-03-20,
Devin Curtis,California,6,3.0667,4.26763,So,2004-10-15,
Rodney Brown Jr.,Virginia Tech,18,15.1167,-1.90412,So,2004-10-15,
Ethan McComb,Butler,5,1.4200,-6.506,So,2004-10-15,
Augusto Cassia,Butler,10,15.3300,6.22469,So,2002-08-11,
Boden Kapke,Butler,34,13.3618,1.00407,So,2004-10-15,
Finley Bizjack,Butler,34,27.5853,2.95733,So,2004-10-15,
Noah Melson,Chattanooga,20,10.6045,-9.00365,So,2004-10-15,
Sean Cusano,Chattanooga,33,13.7029,-0.691458,So,2004-10-15,
Bryan Ndjonga,Central Michigan,25,19.4448,-2.688,So,2004-10-15,
Collin Mulholland,Chattanooga,34,12.4111,-0.255982,Fr,2004-10-15,
Christian Cook,New Mexico St.,29,31.2219,1.10215,Sr,2002-10-15,
Eddiean Tirado,SIU Edwardsville,13,5.4467,-7.72117,Sr,2002-10-15,
Xzavier Lino,UMass Lowell,29,12.1719,-5.60223,Sr,2002-10-15,
Malachi Davis,LIU,31,32.8719,-3.65388,Sr,2002-10-15,
Nic McClain,Eastern Washington,29,27.8000,-2.20137,Sr,2002-10-15,
Gavin Davis,UC Riverside,30,5.4844,-3.16256,Jr,2002-10-15,
Isaiah Moses,UC Riverside,32,26.3471,-1.11203,Jr,2003-10-15,
Jeremiah Quigley,George Mason,8,8.1556,-7.81349,So,2004-10-15,
Jean Aranguren,Hofstra,31,32.5697,1.58713,So,2003-06-02,
Gabe Cupps,Indiana,4,6.1750,-1.45359,So,2004-10-15,
Mackenzie Mgbako,Indiana,32,25.1812,2.90366,So,2004-11-18,
Jakai Newton,Indiana,4,4.4250,-7.57519,Fr,2004-10-15,
Jaden Daughtry,Indiana St.,30,19.3750,0.0182919,So,2004-10-15,
Derek Vorst,Indiana St.,14,11.9875,0.126499,So,2004-10-15,
"Marlon Barnes, Jr.",Pittsburgh,8,1.6250,2.15184,Fr,2005-04-11,
Jaland Lowe,Pittsburgh,31,35.4000,2.04318,So,2004-09-06,
Papa Amadou Kante,Pittsburgh,22,7.0000,0.929588,Fr,2003-10-27,
Vincent Delano,Portland,30,23.2062,-5.28172,Fr,2004-10-15,
Kelson Gebbers,Portland,18,9.7579,-2.05948,Fr,2004-10-15,
Collin Kuhl,Georgia Southern,29,9.4552,-2.43762,So,2004-10-15,
Pierce Shirk,Morgan St.,9,2.1667,-13.2349,So,2004-10-15,
Marcos San Miguel,Georgia Tech,5,1.7200,-26.0114,So,2004-10-15,
Eren Banks,Georgia Southern,32,28.7758,-1.31713,So,2004-10-15,
Ibrahima Sacko,New Mexico,18,5.7684,0.540345,So,2003-08-12,
Ibrahim Souare,Georgia Tech,30,16.9900,-0.297199,Fr,2004-09-17,
Amir Arrington,George Washington,4,1.2600,0.557041,So,2004-10-15,
Naithan George,Georgia Tech,34,35.5706,1.8819,So,2004-10-15,
Avantae Parker,Georgia Southern,16,13.0294,2.65605,So,2004-10-15,
Marquese Josephs,Western Michigan,17,10.5056,-3.52597,So,2004-10-15,
Keyshawn Mitchell,Bryant,33,20.3429,-1.47698,So,2004-10-15,
Almar Atlason,Bradley,35,18.5083,-0.7915,So,2004-12-28,
Aaron Davis,Bryant,12,9.0077,-4.138,So,2004-10-15,
EJay Greer,Alabama A&M,6,11.1778,-12.351,So,2004-10-15,
Demarion Burch,Bradley,26,12.8296,0.333086,So,2004-10-15,
Hunter Harding,Central Michigan,7,9.8429,1.74757,So,2004-10-15,
Shaedon Simpson,Central Michigan,11,7.3250,-1.94899,Fr,2004-10-15,
Bryce Eaton,Saint Peter's,27,25.8250,-4.87415,Fr,2004-10-15,
"Darin Smith, Jr.",Central Connecticut,29,18.0516,-2.37213,Fr,2004-10-15,
Drew Barbee,Central Michigan,7,4.3364,-4.14618,Fr,2004-10-15,
Jerry Huang,Utah,9,2.0778,-3.33658,Fr,2004-10-15,
Ayomide Bamisile,Utah,6,2.4500,3.68874,Fr,2004-10-15,
Trey Horton,UTEP,29,11.1687,-2.96642,So,2004-10-15,
David Terrell Jr.,UTEP,30,30.6031,0.189445,So,2004-10-15,
Jake Wahlin,Utah,33,23.4636,5.50615,So,2004-10-15,
Nazar Mahmoud,UTSA,16,7.5000,-7.76256,So,2004-10-15,
Marqueas Bell,Southeast Missouri St.,16,10.1105,-6.14803,So,2004-10-15,
Dontae Horne,Georgia Southern,27,14.8714,-6.85265,Sr,2002-10-15,
William Humer,Northern Colorado,16,4.6158,-6.26037,Jr,2002-05-21,
Kwo Agwa,UT Rio Grande Valley,26,17.5867,1.23144,Sr,2002-10-15,
Hayden Gray,UC San Diego,33,32.1571,7.33102,Sr,2003-05-11,
Terrence Brown,Fairleigh Dickinson,29,34.5875,-2.03324,So,2004-10-15,
Davin Francis,Fairleigh Dickinson,2,2.6800,-13.1288,So,2004-10-15,
Chuck Bailey III,Nevada,31,11.0548,-5.29574,So,2004-10-15,
Braylon Jackson,Evansville,2,3.5000,-29.8585,So,2004-08-13,
Joshua Hughes,Evansville,31,29.6719,-1.97368,So,2005-01-08,
Tyler Myers,Evansville,1,3.0500,-30.4837,So,2004-10-15,
Bryce Cash,Queens,33,27.2000,-2.27685,So,2004-10-15,
Jordon Nevill,Queens,16,3.2056,7.60418,So,2004-10-15,
Jace Rayl,Purdue,4,1.5500,-27.9397,So,2004-04-15,
Corey Hadnot II,Purdue Fort Wayne,30,22.4250,-0.52652,So,2004-10-15,
Myles Colvin,Purdue,36,17.8167,3.19297,So,2005-08-09,
Josh Furst,Purdue,2,1.2500,0.675282,So,2005-04-26,
Ryan Sutliff,Boston University,7,3.1250,-14.521,Sr,2002-10-15,
Marcus Hill,N.C. State,31,27.4194,0.0161729,Sr,2002-10-15,
Quentin Bolton Jr.,Arkansas Pine Bluff,29,18.3032,-3.08403,Jr,2003-10-15,
Pip Ajayi,Bucknell,33,12.8576,1.97057,Sr,2003-09-10,
Keonte Jones,Cal St. Northridge,31,30.8364,7.31162,Sr,2002-03-13,
Mahmoud Fofana,Cal St. Northridge,31,26.1606,1.82811,Sr,2002-10-15,
Joel Armotrading,UC Riverside,31,21.8758,1.79848,Jr,2002-10-15,
Mason Johnson,Southern Utah,2,7.5600,-4.66953,Jr,2002-10-15,
Jacob Meyer,DePaul,33,19.4455,-0.378532,So,2004-10-15,
Adam Clark,Merrimack,33,36.9061,3.68465,So,2004-10-15,
Jalal McKie,North Carolina A&T,31,17.4219,-7.92846,So,2004-10-15,
Mason Jones,Ball St.,27,11.4167,-2.84908,So,2004-10-15,
Julius Reese,North Carolina A&T,3,1.8500,-2.79649,So,2004-10-15,
Omar Adegbola,Baylor,10,2.1000,1.44786,So,2004-10-15,
Ryan Lopez,Chattanooga,6,0.7500,-0.571245,So,2004-10-15,
AJ Lux,Bellarmine,21,12.8304,-2.36045,So,2004-10-15,
Chrishawn Christmas,Stephen F. Austin,28,30.9161,-1.12299,Jr,2003-10-15,
Ethan Mayes,Stephen F. Austin,3,2.6167,-20.9975,Sr,2002-10-15,
Toyaz Solomon,UNC Asheville,28,31.1438,2.09925,Sr,2001-06-06,
Patrick McCraney,Louisiana Monroe,3,9.9200,-10.7417,Jr,2003-10-15,
Josiah Hammons,Sam Houston St.,29,21.7000,-0.219093,Jr,2002-10-15,
Tidjiane Dioumassi,Southern,6,26.5125,-0.212511,Sr,2002-10-15,
Jaylen Jones,Oakland,31,21.9625,-1.79568,So,2005-02-21,
Drew Scharnowski,Belmont,24,12.7280,3.49127,So,2004-05-03,
Julian Vaughns,Sacramento St.,22,23.2375,-1.78771,Jr,2001-02-16,
KJ Swain,Saint Francis,4,3.1571,-14.5942,Sr,2002-10-15,
Adam Shoff,Montana,11,1.3357,-15.175,Sr,2001-10-15,
Mac Wrecke,Green Bay,31,20.0719,-3.94746,So,2004-10-15,
Blake Buchanan,Virginia,32,21.9781,5.10872,So,2004-01-20,
Desmond Roberts,Virginia,5,1.3800,-16.8758,So,2004-10-15,
Seth Joba,Vermont,24,8.5808,-8.2441,So,2004-10-15,
Noah Barnett,Vermont,28,12.4233,-0.130493,So,2004-10-15,
Owen Freeman,Iowa,19,26.4105,5.48055,So,2004-11-15,
Jordann Dumont,Villanova,20,6.6300,3.78739,So,2004-07-12,
Jason Rivera-Torres,San Francisco,32,7.8212,-0.123188,So,2004-10-15,
"JaQualon ""JQ"" Roberts",Vanderbilt,21,4.6143,2.59711,So,2004-10-15,
DaJohn Craig,Oregon St.,9,6.1900,-3.10629,So,2004-10-15,
Jeremy Fears Jr.,Michigan St.,36,23.6694,4.08319,So,2005-04-19,
Carson Prost,Eastern Illinois,14,9.2824,-5.16808,Sr,2002-10-15,
Corey Sawyer Jr,Eastern Illinois,14,22.7214,-5.61975,Sr,2002-10-15,
Josh Lee,Denver,28,20.7226,-1.29516,Jr,2003-10-15,
Jasper Floyd,North Texas,34,29.6222,1.25304,Sr,2002-10-15,
Nakyel Shelton,Eastern Illinois,27,33.9793,0.190921,Sr,2002-10-15,
TK Simpkins,Elon,25,29.7741,-1.47482,Jr,2003-10-15,
Youssouf Singare,Connecticut,16,2.6563,5.47763,So,2003-05-01,
Jayden Ross,Connecticut,33,11.3606,1.8425,So,2004-07-16,
Spencer Joyner,Boston University,6,3.9333,-18.6119,So,2004-10-15,
Fred Payne,Boston College,30,18.2067,2.24984,So,2004-10-15,
Errol White,Lamar,30,22.2576,-1.35944,Sr,2002-10-15,
Emmanuel Ugbo,Boise St.,35,10.0500,-0.486365,So,2003-04-14,
Kevin Patton Jr.,USC,27,8.1074,5.25654,So,2004-10-15,
Matai Baptiste,Boston University,10,20.5364,-4.59688,So,2004-10-15,
Aaron Smith,Alabama A&M,28,8.1484,-6.96684,So,2004-10-15,
Bilal Abdur-Rahman,Alabama A&M,27,14.3833,-4.35767,So,2004-10-15,
Kailon Nicholls,Northern Illinois,28,22.3484,-9.08038,So,2004-10-15,
Grady Whitt,Colorado,1,3.4000,19.0201,Fr,2004-04-20,
TJ Biel,Southeast Missouri St.,28,13.9419,-1.26894,Sr,2002-10-15,
Doug Young,Quinnipiac,28,13.2862,-3.98622,Sr,2002-10-15,
Jeffrey Langston Jr.,Southern Utah,28,15.9065,-4.30395,Sr,2002-10-15,
Tyriek Weeks,Rider,18,7.2000,-6.36415,Jr,2003-10-15,
Marcus Boykin,Sam Houston St.,24,29.0923,2.84693,Sr,2002-10-15,
Malek Gomma,Seattle,24,13.6154,1.39123,So,2004-10-15,
Will Heimbrodt,Seattle,25,10.5704,4.17542,Fr,2004-10-15,
David Tubek,Seton Hall,25,10.3760,0.905603,So,2004-10-15,
Isaiah Coleman,Seton Hall,30,33.6633,0.253464,So,2003-09-04,
Bukky Oboye,Santa Clara,25,4.2680,0.844063,Fr,2004-10-15,
Luke McEldon,Santa Clara,3,2.8667,-14.2319,So,2004-10-15,
Isaac Bruns,South Dakota,30,23.4818,-3.27635,So,2004-10-15,
Shey Eberwein,South Dakota,28,16.7968,-4.04588,Fr,2004-10-15,
Josh Scovens,Army,27,31.7069,-1.47899,So,2004-10-15,
Marvin Musiime-Kamali,Akron,30,8.2000,0.101761,So,2004-10-15,
Luke Wilson,Appalachian St.,28,11.9400,0.109181,So,2004-10-15,
Jordan Marsh,UNC Asheville,28,28.5219,2.14007,So,2004-10-15,
Ma'Shy Hill,Abilene Christian,26,6.1897,-3.15832,So,2004-10-15,
Darrion Baker,SIU Edwardsville,8,15.1200,-0.508246,Fr,2004-10-15,
"Maurice Wright, Jr.",VMI,9,7.0692,-18.6441,So,2004-10-15,
Robert Peters,VMI,13,13.6176,-8.96507,So,2004-10-15,
